original,renamed_to,folder
20-005 C01-00 Lines Plan SHEET 1 (1).pdf,Stability_MBB_C01LinesPlan_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 C04-01 Geometry File.pdf,Stability_MBB_C04GeometryFile_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 C05-01 Hydrostatics.pdf,Stability_MBB_C05Hydrostatics_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 C06-01 Cross Curves of Stability.pdf,Stability_MBB_C06CrossCurvesOfStability_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 C07-01 Intact Stability.pdf,Stability_MBB_C07IntactStability_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 C11-00 Lightship Weight Estimate.pdf,Stability_MBB_C11LightshipWeightEstimate_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 C17-01 Tank Capacity Tables.pdf,Stability_MBB_C17TankCapacityTables_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 C18-00 Capacity Plan (shts 1-2)_120402371.pdf,Stability_MBB_C18CapacityPlan_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 C18-0P Capacity Plan (shts 1-2).pdf,Stability_MBB_C18CapacityPlan_DWG_RevP.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 C20-01 Trim & Stability Booklet.pdf,Stability_MBB_C20TrimStabilityBooklet_OMM_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 C35-02 Deck Fitting Calcs.pdf,Stability_MBB_C35DeckFittingCalcs_CALCS_Rev2.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 C39-01 Stores Crane Heeling Moment Calculations.pdf,Stability_MBB_C39StoresCraneHeelingMomentCalculations_CALCS_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 Compressed Air Calculations 11_24_20.pdf,CompressedAir_MBB_CompressedAirCalculations_CALCS_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 Crane Foundation Calcs-REVISED 10-16-20.pdf,GeneralArrangement_MBB_CraneFoundationCalcsRevised101620_CALCS_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 E-12 Electrical Equipment Arrgt R1.pdf,Electrical_MBB_E12ElectricalEquipmentArrgt_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/MainSwitchboard Distribution Panel TMs
20-005 E00-00 Electric Plant Load Analysis - AC System.pdf,Electrical_MBB_E00ElectricPlantLoadAnalysisAcSystem_REFDATA_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/MainSwitchboard Distribution Panel TMs
20-005 E01-00 Electrical One Line-A.C. Switchboard.pdf,Electrical_MBB_E01ElectricalOneLineACSwitchboard_REFDATA_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/MainSwitchboard Distribution Panel TMs
20-005 E02-01 Electrical One Line - DC System (shts 1-2).pdf,Electrical_MBB_E02ElectricalOneLineDcSystem_REFDATA_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 E03-00 Lighting Deck Plan (shts 1-3).pdf,Electrical_MBB_E03LightingDeckPlan_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 E07-00 Pilothouse & Console Layout (shts 1-2).pdf,Electrical_MBB_E07PilothouseConsoleLayout_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 E09-00 Fault Current Analysis.pdf,Electrical_MBB_E09FaultCurrentAnalysis_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 E18-01 Electric Plant Load Analysis - DC System.pdf,Electrical_MBB_E18ElectricPlantLoadAnalysisDcSystem_REFDATA_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 E20-01 Electrical One Line - AC Distribution Panels (shts 1-5).pdf,Electrical_MBB_E20ElectricalOneLineAcDistributionPanels_REFDATA_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 M01-02 Shaft Arrangement (shts 1-2) (1).pdf,Drivetrain_MBB_M01ShaftArrangement_DWG_Rev2.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P01-00 Bilge Ballast  Fire System Schematic (shts 1-3)_.pdf,Piping_MBB_P01BilgeBallastFireSystemSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P02-00 Fuel Oil Transfer Piping Schematic (shts 1-2).pdf,Piping_MBB_P02FuelOilTransferPipingSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P03-00 Fuel Oil Service Piping Schematic (shts 1-2).pdf,Piping_MBB_P03FuelOilServicePipingSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
"20-005 P04-00 Fills, Vents & Sounds Diagram (shts 1-5).pdf",Piping_MBB_P04FillsVentsSoundsDiagram_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P05-00 Cooler Installation (shts 1-3).pdf,Piping_MBB_P05CoolerInstallation_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P06-01 Exhaust System (shts 1-5).pdf,Piping_MBB_P06ExhaustSystem_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P07-01 Cooling Piping System Schematic (shts 1-2).pdf,Piping_MBB_P07CoolingPipingSystemSchematic_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P08-00 Potable & Sanitary Water Schematic (shts 1-2).pdf,Piping_MBB_P08PotableSanitaryWaterSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P09-00 Overboard Drains & Sewage System Schematic (shts 1-3).pdf,Piping_MBB_P09OverboardDrainsSewageSystemSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P11-00 Hydraulic System Schematic.pdf,Piping_MBB_P11HydraulicSystemSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/JAK System TMs
20-005 P12-00 Dirty Oil & Oily Bilge System Schematic (shts 1-3).pdf,Piping_MBB_P12DirtyOilOilyBilgeSystemSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P13-00 Lube Oil System Schematic (shts 1-2).pdf,Piping_MBB_P13LubeOilSystemSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P14-00 Compressed Air System Schematic (shts 1-2).pdf,Piping_MBB_P14CompressedAirSystemSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Main Service Compressed Air System
20-005 P16-00 Fire Monitor and Deluge Schematic (shts 1-2) FMR.pdf,Piping_MBB_P16FireMonitorAndDelugeSchematicFmr_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/FIFI System
20-005 P16-00 Fire Monitor and Deluge Schematic (shts 1-2).pdf,Piping_MBB_P16FireMonitorAndDelugeSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/FIFI System
20-005 P17-00 Deck Drains Diagram (shts 1-2).pdf,Piping_MBB_P17DeckDrainsDiagram_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 P25-00 Urea Piping System Schematic SHEET 1 (1).pdf,Piping_MBB_P25UreaPipingSystemSchematic_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S01-01 Bow Structure.pdf,Hull_MBB_S01BowStructure_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 S02-00 Midbody Structure (shts 1-5).pdf,Hull_MBB_S02MidbodyStructure_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 S03-06 Stern Structure (shts 1-4).pdf,Hull_MBB_S03SternStructure_DWG_Rev6.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S10-01 Main Engine Foundation & Double Bottom (shts 1-3) .pdf,Hull_MBB_S10MainEngineFoundationDoubleBottom_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S11-03 01 Level & Bhds Below (shts 1-3).pdf,Hull_MBB_S1101LevelBhdsBelow_DWG_Rev3.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S12-00 02 Level & Bhds Below (shts 1-2).pdf,Hull_MBB_S1202LevelBhdsBelow_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S13-01 Tower (shts 1-3).pdf,Hull_MBB_S13Tower_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 S14-00 Raised Pilot House SHEET 1 (1).pdf,Hull_MBB_S14RaisedPilotHouse_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S15-00 Exhaust Stack Details (shts 1-2).pdf,Hull_MBB_S15ExhaustStackDetails_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S16-00 Handrails and Ladders Arrangements (shts 1-7).pdf,Hull_MBB_S16HandrailsAndLaddersArrangements_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 S17-02 Bulwarks & Deck Fittings Arrangements.pdf,Hull_MBB_S17BulwarksDeckFittingsArrangements_DWG_Rev2.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 S18-00 Skeg Details SHEET 1 (1).pdf,Hull_MBB_S18SkegDetails_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 S19-01 Sea Chests (shts 1-2).pdf,Hull_MBB_S19SeaChests_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 S20-00 Anchor Handling SHEET 1 (1).pdf,Hull_MBB_S20AnchorHandling_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S25-00 Mast Details SHEET 1 (1).pdf,Hull_MBB_S25MastDetails_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S26-00 Schedule of Openings (shts 1-2).pdf,Hull_MBB_S26ScheduleOfOpenings_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 S28-00 Fender Details (shts 1-2).pdf,Hull_MBB_S28FenderDetails_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 S31-00 Capstan Installation.pdf,Hull_MBB_S31CapstanInstallation_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 T00-0P U.S. Tonnage Calculations.pdf,Tonnage_MBB_T00USTonnageCalculations_CALCS_RevP.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 T01-00 US Tonnage Plans (shts 1-2).pdf,Tonnage_MBB_T01UsTonnagePlans_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 T02-0P International Tonnage Estimate.pdf,Tonnage_MBB_T02InternationalTonnageEstimate_DWG_RevP.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 T04-0P Panama Tonnage Estimate.pdf,Tonnage_MBB_T04PanamaTonnageEstimate_DWG_RevP.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
Alfa Laval MMB 304 Spare Parts Manual REV1.pdf,FuelOil_AlfaLaval_MMB304S_PARTSLIST_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/FuelSystem
QUINCY QGS 10-20S Technical Datasheet v2 (3).pdf,CompressedAir_Quincy_QGS1020S_REFDATA_Rev2.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Main Service Compressed Air System
QUINCY QGS15 Parts Book ITJ360252 (1).pdf,CompressedAir_Quincy_QGS15_PARTSLIST_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Main Service Compressed Air System
Quincy ER Compressor 9828093052 ed 04 (EN).pdf,CompressedAir_Quincy_D310HP_OMM_Rev4.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Main Service Compressed Air System
Ventilation Louver Belimo-EF230A-S2 (EN).pdf,HVAC_Belimo_EF230AS2_REFDATA_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Ventilation
